timestep,0,1,2,3,4
285,2.57,1.85,2.41,1.96,1.79
287,2.57,1.85,2.42,1.96,1.79
289,2.57,1.84,2.42,1.96,1.79
291,2.57,1.85,2.42,1.97,1.79
293,2.57,1.84,2.41,1.96,1.79
295,2.56,1.84,2.41,1.96,1.78
297,2.56,1.83,2.41,1.95,1.77
299,2.56,1.83,2.41,1.95,1.77
300,5,1.83,2.40,1.95,1.77
302,2.55,1.83,2.40,1.95,1.77
304,2.55,1.82,2.39,1.95,1.77
305,2.55,1.82,2.39,1.95,1.77
307,2.55,1.82,2.39,1.95,1.76
309,2.55,1.82,2.39,1.95,1.76
311,2.55,1.82,2.39,1.95,1.77
312,55,1.82,2.39,1.95,1.76
314,2.55,1.82,2.39,1.95,1.77
316,2.55,1.82,2.39,1.95,1.77
318,2.55,1.82,2.39,1.95,1.77
320,2.55,1.82,2.39,1.95,1.77
322,2.55,1.82,2.39,1.95,1.76
324,2.55,1.82,2.39,1.95,1.76
326,2.55,1.82,2.39,1.95,1.76
328,2.54,1.81,2.38,1.94,1.75
330,2.53,1.80,2.38,1.93,1.74
332,2.53,1.80,2.37,1.93,1.74
334,2.52,1.79,2.36,1.92,1.74
336,2.52,1.79,2.36,1.92,1.73
338,2.52,1.78,2.36,1.91,1.73
339,2.52,1.78,2.36,1.91,1.73
341,2.52,1.78,2.36,1.91,1.73
343,2.52,1.78,2.36,1.91,1.73
345,2.52,1.78,2.36,1.91,1.73
347,2.52,1.78,2.36,1.91,1.73
349,2.52,1.78,2.36,1.91,1.73
351,2.52,1.78,2.35,1.91,1.73
352,.52,1.78,2.35,1.91,1.73
354,2.52,1.78,2.35,1.91,1.73
356,2.52,1.78,2.35,1.91,1.73
358,2.52,1.78,2.36,1.91,1.73
360,2.52,1.78,2.36,1.91,1.73
362,2.52,1.78,2.36,1.91,1.73
364,2.51,1.78,2.36,1.91,1.73
366,2.52,1.78,2.36,1.91,1.73
368,2.51,1.78,2.36,1.91,1.73
370,2.51,1.78,2.35,1.92,1.73
372,2.51,1.78,2.35,1.92,1.73
374,2.51,1.78,2.35,1.92,1.73
376,2.51,1.78,2.35,1.92,1.73
378,2.52,1.78,2.35,1.92,1.73
380,2.52,1.78,2.35,1.92,1.73
381,2.52,1.78,2.35,1.92,1.73
383,2.51,1.78,2.35,1.92,1.73
385,2.52,1.78,2.35,1.92,1.73
387,2.51,1.78,2.35,1.92,1.73
389,2.51,1.78,2.35,1.93,1.73
391,2.52,1.78,2.35,1.92,1.73
393,2.52,1.78,2.36,1.93,1.73
395,2.52,1.79,2.37,1.93,1.74
397,2.52,1.79,2.38,1.93,1.74
398,.52,1.79,2.38,1.93,1.74
