iteration,0,1,2,3,4
1,2.42,3.84,2.56,1.4946,2.3802
2,2.4526,3.5634,2.4038,1.5198,2.6586
3,2.471,3.5792,2.5178,1.5316,2.5924
4,2.4606,3.8106,2.4764,1.5362,2.9922
5,2.4478,3.688,2.4976,1.491,2.3276
