iteration,0,1,2,3,4
1,3.4988,4.1406,2.7958,4.831,2.5594
2,3.5262,4.1724,2.5814,4.8304,2.847
3,3.3173999999999997,4.0466,2.4518,4.8378,3.0256
4,3.4658,4.1450000000000005,2.443,4.8616,1.9776
5,3.2908,4.0725999999999996,2.4232,4.867,2.2358000000000002
