iteration,0,1,2,3,4
1,3.0718,4.1864,3.1766,1.486,2.0862
2,2.8256,4.1718,2.5712,1.513,1.7644
3,2.9802,4.2498000000000005,2.7294,1.755,1.9908
4,2.7026,4.1624,2.4238,1.4824,1.4352
5,2.6924,4.2324,2.3708,1.752,1.5484
