symbol,0,1,2,3,4
baseline,1.451,1.1812,2.1024,1.3768,0.7172
baseline,1.4562,1.1428,2.104,1.3484,0.6424
baseline,1.4564,1.165,2.0882,1.3682,0.6278
baseline,1.4828,1.1656,2.0942,1.3914,0.6402
baseline,1.4672,1.1542,2.081,1.4106,0.6502
baseline,1.4902,1.188,2.1234,1.4194,0.66
baseline,1.489,1.1898,2.1104,1.4406,0.6686
baseline,1.4844,1.1142,2.0928,1.3676,0.645
baseline,1.5398,1.1586,2.1278,1.417,0.6502
baseline,1.485,1.1646,2.0924,1.404,0.6444
Jiim,1.8772,2.0818,2.0676,2.209,0.9262
Jiim,1.8472000000000002,1.7618,2.1446,1.7656,1.185
Jiim,1.8336000000000001,1.8486,2.1758,1.934,1.2998
Jiim,1.6994,1.5976000000000001,2.1928,1.59,0.9758
Jiim,1.7318,1.7448,2.1992000000000003,2.035,1.0438
Jiim,1.7676,1.6665999999999999,2.2062,1.7694,1.0628
Jiim,1.7678,1.7138,2.2002,1.8114000000000001,1.1354
Jiim,1.7166,1.6934,2.0878,1.815,1.1663999999999999
Jiim,1.7568,1.9378,2.2676,2.109,1.3512000000000002
Jiim,1.8048,1.7582,2.2436,1.9165999999999999,1.3318
Thaa,2.6106,1.432,2.0978,1.6248,1.618
Thaa,2.6206,1.3532000000000002,2.0994,1.6623999999999999,1.679
Thaa,2.4972,1.4089999999999998,2.117,1.5992000000000002,1.9627999999999999
Thaa,2.5694,1.3998,2.1606,1.6612,2.0396
Thaa,2.556,1.3,2.1768,1.5976000000000001,1.7928
Thaa,2.5518,1.2476,2.1471999999999998,1.6258,1.6248
Thaa,2.5372,1.2532,2.1635999999999997,1.5386,1.7784
Thaa,2.6006,1.2730000000000001,2.1344,1.6078000000000001,1.7546
Thaa,2.4424,1.2546,2.167,1.6078000000000001,1.7532
Thaa,2.5652,1.4222,2.2972,1.7198,2.0242
Taa,2.833,3.7546,2.3278,1.7386,1.836
Taa,2.7482,3.7972,2.1958,1.7286,1.637
Taa,2.7072000000000003,3.7066,2.1778,1.7434,1.6028
Taa,2.7462,3.0834,2.2426,1.612,1.5584
Taa,2.6928,3.1696,2.2188000000000003,1.5254,1.3442
Taa,2.712,3.4808,2.2192,1.5750000000000002,1.5898
Taa,2.6858,3.3602,2.216,1.5362,1.8732
Taa,2.672,3.4064,2.2064,1.5172,1.6804
Taa,2.574,3.3774,2.226,1.578,1.698
Taa,2.6830000000000003,3.1806,2.2144,1.4698,1.566
Baa,2.2706,3.898,3.9422,1.665,1.6685999999999999
Baa,2.5902,3.7036000000000002,2.3914,1.6,1.8112000000000001
Baa,2.5528,3.7054,2.5734,1.6743999999999999,1.7372
Baa,2.4802,3.9236,2.6924,1.6922,2.4822
Baa,2.4558,3.9226,2.6576,1.7404,2.4372000000000003
Baa,2.3884,3.9356,2.6956,1.7429999999999999,2.2546
Baa,2.2438000000000002,3.8914,2.6806,1.76,2.3868
Baa,2.3908,3.9702,2.6544,1.7464,2.4702
Baa,2.2556,3.9042,2.6706,1.7648,2.5044
Baa,2.2354000000000003,3.9982,2.718,1.7204,2.5949999999999998
Alif,2.209,3.3122,2.436,3.4616000000000002,1.1264
Alif,2.173,3.6268,2.6844,3.9098,1.1882
Alif,2.1994000000000002,3.4366,2.7308,4.1142,1.2012
Alif,2.3742,3.3778,2.6196,4.0668,1.2202
Alif,2.3152,3.3784,2.6164,3.9328,1.1629999999999998
Alif,2.1664,3.1388,2.4158,3.777,1.0694000000000001
Alif,2.3367999999999998,3.1296,2.38,3.792,1.0894000000000001
Alif,2.2536,3.239,2.4152,3.8152,1.11
Alif,2.3062,3.2446,2.4546,3.934,1.1176000000000001
Alif,2.3052,3.3132,2.4566,3.9466,1.1349999999999998
Dhaal,2.2883999999999998,3.5334,2.075,2.2114000000000001,1.1361999999999999
Dhaal,2.408,3.3622,2.1066,2.2076,1.1678
Dhaal,2.3447999999999998,3.4746,2.1152,2.3004,1.1358
Dhaal,2.4208,3.2786,2.0996,2.794,1.1732
Dhaal,2.3554,3.0562,2.0618,2.4212000000000002,1.1558
Dhaal,2.3424,3.1054,2.083,2.503,1.1341999999999999
Dhaal,2.1602,3.0096,2.0307999999999997,2.5412,1.0902
Dhaal,2.1652,3.4338,2.0638,2.6116,1.1152
Dhaal,1.9674,3.4206,2.2094,2.2462,1.1354
Dhaal,2.0122,3.1604,2.0692,2.3729999999999999,0.9904
Daal,2.3208,3.315,2.2796,1.9376,1.0742
Daal,2.141,3.3672,2.206,1.962,1.2389999999999999
Daal,2.2744,3.1278,2.2322,2.0244,1.1894
Daal,2.2786,3.1338,2.2965999999999998,2.1884,1.3032000000000001
Daal,2.3409999999999997,3.2424,2.3172,2.1628,1.2348
Daal,2.3432,3.0548,2.3188,2.1132,1.2029999999999998
Daal,2.272,2.9966,2.311,2.2256,1.2122
Daal,2.357,3.2284,2.4126,2.3878,1.4054
Daal,2.291,2.982,2.4532,2.4290000000000003,1.3104
Daal,2.3736,3.1718,2.456,2.307,1.4758
Qaaf,2.0126,3.7518,1.9929999999999999,2.3864,2.0824
Qaaf,1.9546,3.5132,1.8648,2.7326,2.2326
Qaaf,2.112,3.4964,1.9207999999999998,2.497,2.2008
Qaaf,2.1128,3.4228,1.8958,2.5068,2.2476
Qaaf,2.2952,3.4746,1.888,2.6902,2.2592
Qaaf,2.1198,3.5956,1.9365999999999999,2.4724,2.3952
Qaaf,2.3026,3.4358,1.9332,2.5156,2.5194
Qaaf,2.0168,3.6604,2.031,2.1244,1.9316
Qaaf,2.0662,3.5192,2.0484,2.1758,2.2842
Qaaf,2.0886,3.4662,2.0818,2.4308,2.482
Ghayn,2.1,3.13,2.0252,1.726,0.8894
Ghayn,1.9128,3.294,1.9462,1.7176,0.9062
Ghayn,2.2887999999999997,3.2814,1.99,1.7768,0.92
Ghayn,2.3018,3.3194,1.9988,1.7692,0.9304
Ghayn,1.9856,3.3546,1.9569999999999999,1.7624,0.9194
Ghayn,2.1648,3.396,1.972,1.7002,0.8936000000000001
Ghayn,1.9532,3.2828,1.9614,1.7002,0.87
Ghayn,2.2368,3.4564,1.9447999999999999,1.7508,0.9466
Ghayn,2.1774,3.1768,1.9607999999999999,1.7482,0.9164
